India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I1530-3C     0.0  Cm  1 20.1953 326.6  16.1  336.9 -19.3  336.9 -19.3    0    .0
I1530-3C   100.0  Cm  1 19.1708 305.5  15.2  318.0 -10.4  318.0 -10.4    0    .0
I1530-3C   100.1  Cm  1 19.0147 307.4  -0.1  310.6 -24.0  310.6 -24.0    0    .0
I1530-3C   150.1  Cm  1 18.8484 300.9 -13.9  295.1 -30.8  295.1 -30.8    0    .0
I1530-3C   150.0  Cm  1 17.5549 304.0   0.5  307.9 -21.6  307.9 -21.6    0    .0
I1530-3C   200.0  Cm  1 15.8560 307.2   3.3  312.5 -21.2  312.5 -21.2    0    .0
I1530-3C   100.2  Cm  1 16.7585 306.2 -11.4  301.7 -32.3  301.7 -32.3    0    .0
I1530-3C   200.1  Cm  1 17.4287 306.2 -20.6  294.0 -39.1  294.0 -39.1    0    .0
I1530-3C   200.1  Cm  1 16.8273 306.8 -18.5  296.4 -38.0  296.4 -38.0    0    .0
I1530-3C   100.2  Cm  1 17.6153 305.2 -20.9  292.9 -38.7  292.9 -38.7    0    .0
I1530-3C   200.1  Cm  1 17.7005 307.8 -22.8  293.4 -41.7  293.4 -41.7    0    .0
I1530-3C   250.1  Cm  1 18.0280 312.5 -24.1  296.3 -45.7  296.3 -45.7    0    .0
I1530-3C   250.0  Cm  1 14.9071 308.1 -10.8  303.8 -33.0  303.8 -33.0    0    .0
I1530-3C   300.0  Cm  1 13.9185 307.4  -7.8  305.4 -30.2  305.4 -30.2    0    .0
I1530-3C   200.2  Cm  1 16.6778 307.6 -31.5  284.2 -47.4  284.2 -47.4    0    .0
I1530-3C   300.1  Cm  1 18.0269 313.3 -35.3  283.8 -53.6  283.8 -53.6    0    .0
I1530-3C   350.1  Cm  1 25.3451 309.4 -53.5  251.7 -58.2  251.7 -58.2    0    .0
I1530-3C   350.0  Cm  1 14.4035 309.4 -24.9  292.7 -44.3  292.7 -44.3    0    .0
I1530-3C   400.0  Cm  1 12.5415 309.6 -11.7  304.4 -34.6  304.4 -34.6    0    .0
I1530-3C   300.2  Cm  1 20.0512 317.7 -50.6  259.6 -62.7  259.6 -62.7    0    .0
I1530-3C   400.1  Cm  1 29.4713 318.0 -63.6  231.0 -62.5  231.0 -62.5    0    .0
I1530-3C   435.1  Cm  1 33.8156 328.9 -65.7  222.5 -65.9  222.5 -65.9    0    .0
I1530-3C   435.0  Cm  1 13.7042 317.6 -31.9  292.2 -54.3  292.2 -54.3    0    .0
I1530-3C   470.0  Cm  1 12.1508 314.2 -22.8  299.3 -45.9  299.3 -45.9    0    .0
I1530-3C   400.2  Cm  1 27.8139 324.2 -59.0  239.9 -66.4  239.9 -66.4    0    .0
I1530-3C   470.1  Cm  0 33.8568 324.1 -70.4  215.7 -61.9  215.7 -61.9    0    .0
I1530-3C   505.1  Cm  0 48.0089 325.1 -81.3  199.6 -54.8  199.6 -54.8    0    .0
I1530-3C   505.0  Cm  1 13.5111 319.4 -42.4  276.9 -61.2  276.9 -61.2    0    .0
I1530-3C   520.0  Cm  1 11.9101 312.0 -33.8  284.8 -51.7  284.8 -51.7    0    .0
I1530-3C   470.2  Cm  0 35.4108 323.8 -78.7  203.1 -56.6  203.1 -56.6    0    .0
I1530-3C   520.1  Cm  0 53.5645 345.6 -77.4  197.2 -60.0  197.2 -60.0    0    .0
I1530-3C   535.1  Cm  0 67.1171 355.1 -76.3  193.5 -61.7  193.5 -61.7    0    .0
I1530-3C   535.0  Cm  1 14.4665 318.9 -53.2  254.0 -63.8  254.0 -63.8    0    .0
I1530-3C   550.0  Cm  1  9.1325 326.2 -51.1  260.1 -68.0  260.1 -68.0    0    .0
I1530-3C   520.2  Cm  0 57.1069 299.2 -79.6  205.9 -52.2  205.9 -52.2    0    .0
I1530-3C   550.1  Cm  1 118.970  77.6 -88.2  188.3 -48.4  188.3 -48.4    0    .0
I1530-3C   555.1  Cm  1 145.261 273.5 -84.9  198.6 -48.1  198.6 -48.1    0    .0
I1530-3C   555.0  Cm  2 10.3588 328.2 -68.8  216.7 -63.9  216.7 -63.9    0    .0
I1530-3C   560.0  Cm  1  8.5479 320.8 -66.3  224.6 -62.7  224.6 -62.7    0    .0
