India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I531-4B      0.0  Cm  1 200.765  16.3  -7.2   44.6 -37.6   44.6 -37.6    0    .0
I531-4B    100.0  Cm  1 197.964  19.7  -7.4   48.8 -37.1   48.8 -37.1    0    .0
I531-4B    100.1  Cm  1 198.055  15.3  -7.4   43.4 -38.1   43.4 -38.1    0    .0
I531-4B    150.1  Cm  1 190.702  13.9  -9.9   42.2 -40.7   42.2 -40.7    0    .0
I531-4B    150.0  Cm  1 190.062  12.5  -8.2   40.1 -39.2   40.1 -39.2    0    .0
I531-4B    200.0  Cm  1 178.038  12.4  -9.4   40.2 -40.5   40.2 -40.5    0    .0
I531-4B    100.2  Cm  1 178.314  10.0  -9.0   37.0 -40.4   37.0 -40.4    0    .0
I531-4B    200.1  Cm  1 176.644  10.6 -10.9   38.2 -42.2   38.2 -42.2    0    .0
I531-4B    200.1  Cm  1 177.163   9.7 -12.2   37.2 -43.6   37.2 -43.6    0    .0
I531-4B    100.2  Cm  1 177.281   9.4 -10.6   36.5 -42.0   36.5 -42.0    0    .0
I531-4B    200.1  Cm  1 175.923  10.8 -12.3   38.6 -43.6   38.6 -43.6    0    .0
I531-4B    250.1  Cm  1 163.193   9.5 -13.9   37.1 -45.3   37.1 -45.3    0    .0
I531-4B    250.0  Cm  1 158.772   5.4 -12.5   31.4 -44.4   31.4 -44.4    0    .0
I531-4B    300.0  Cm  1 142.821   2.4 -12.6   27.3 -44.6   27.3 -44.6    0    .0
I531-4B    200.2  Cm  1 143.499 358.4 -14.1   21.8 -46.1   21.8 -46.1    0    .0
I531-4B    300.1  Cm  1 141.785 358.5 -16.1   21.8 -48.0   21.8 -48.0    0    .0
I531-4B    350.1  Cm  1 160.822 354.3 -39.5   10.2 -71.1   10.2 -71.1    0    .0
I531-4B    350.0  Cm  1 129.700 352.0 -17.9   12.2 -49.5   12.2 -49.5    0    .0
I531-4B    400.0  Cm  1 119.762 344.7 -17.1    2.1 -47.5    2.1 -47.5    0    .0
I531-4B    300.2  Cm  1 122.261 344.0 -22.2  359.3 -52.4  359.3 -52.4    0    .0
I531-4B    400.1  Cm  1 147.020 342.0 -40.0  343.5 -68.6  343.5 -68.6    0    .0
I531-4B    435.1  Cm  1 145.967 337.7 -43.8  330.0 -70.2  330.0 -70.2    0    .0
I531-4B    435.0  Cm  1 112.833 336.9 -26.2  346.9 -54.3  346.9 -54.3    0    .0
I531-4B    470.0  Cm  1 103.851 335.5 -23.4  346.6 -51.2  346.6 -51.2    0    .0
I531-4B    400.2  Cm  1 132.975 329.8 -43.3  318.9 -66.2  318.9 -66.2    0    .0
I531-4B    470.1  Cm  1 137.399 329.3 -46.5  312.5 -68.2  312.5 -68.2    0    .0
I531-4B    505.1  Cm  1 151.793 326.5 -54.4  290.5 -71.2  290.5 -71.2    0    .0
I531-4B    505.0  Cm  1 102.352 323.8 -34.2  322.8 -56.2  322.8 -56.2    0    .0
I531-4B    520.0  Cm  1 92.6972 321.0 -29.2  323.9 -50.6  323.9 -50.6    0    .0
I531-4B    520.0  Cm  1 56.6204 181.0 -63.9  204.5 -31.9  204.5 -31.9    0    .0
I531-4B    470.2  Cm  1 128.849 320.2 -52.2  291.2 -66.8  291.2 -66.8    0    .0
I531-4B    520.1  Cm  0 158.116 317.5 -61.4  267.0 -68.7  267.0 -68.7    0    .0
I531-4B    535.1  Cm  0 232.744 315.4 -71.4  239.8 -67.5  239.8 -67.5    0    .0
I531-4B    535.0  Cm  1 87.1539 319.9 -42.6  308.1 -60.7  308.1 -60.7    0    .0
I531-4B    550.0  Cm  1 29.2315 321.0 -31.0  322.4 -52.2  322.4 -52.2    0    .0
I531-4B    520.2  Cm  0 181.912 322.5 -81.6  215.8 -64.2  215.8 -64.2    0    .0
I531-4B    550.1  Cm  1 656.733 254.6 -85.1  212.5 -56.4  212.5 -56.4    0    .0
I531-4B    555.1  Cm  1 688.757 247.5 -85.5  211.4 -56.0  211.4 -56.0    0    .0
I531-4B    555.0  Cm  1 21.4070 320.1 -46.3  302.6 -63.4  302.6 -63.4    0    .0
I531-4B    560.0  Cm  1  3.3056 317.4 -45.2  301.6 -61.3  301.6 -61.3    0    .0
