India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I527-10C     0.0  Cm  1 97.8226  75.7  57.8  191.3  55.1  191.3  55.1    0    .0
I527-10C   100.0  Cm  1 93.3159  76.3  51.2  194.3  48.7  194.3  48.7    0    .0
I527-10C   100.1  Cm  1 86.8136  75.0  47.1  194.2  44.5  194.2  44.5    0    .0
I527-10C   150.1  Cm  1 77.6470  74.4  37.9  195.8  35.4  195.8  35.4    0    .0
I527-10C   150.0  Cm  1 84.9781  72.7  43.0  193.1  40.2  193.1  40.2    0    .0
I527-10C   200.0  Cm  1 88.0365  65.7  43.3  186.4  39.6  186.4  39.6    0    .0
I527-10C   100.2  Cm  1 77.6446  66.7  35.8  188.8  32.4  188.8  32.4    0    .0
I527-10C   200.1  Cm  1 73.5630  68.1  32.1  190.8  28.9  190.8  28.9    0    .0
I527-10C   200.1  Cm  1 77.7329  63.5  36.9  185.6  33.0  185.6  33.0    0    .0
I527-10C   100.2  Cm  1 72.6002  61.6  28.9  185.1  24.8  185.1  24.8    0    .0
I527-10C   200.1  Cm  1 72.1588  60.8  27.6  184.5  23.5  184.5  23.5    0    .0
I527-10C   250.1  Cm  1 67.4449  52.5  12.2  178.4   7.3  178.4   7.3    0    .0
I527-10C   250.0  Cm  1 72.2743  51.2  30.4  175.0  25.2  175.0  25.2    0    .0
I527-10C   300.0  Cm  1 74.3968  44.8  33.4  168.6  27.5  168.6  27.5    0    .0
I527-10C   200.2  Cm  1 64.9926  39.1  14.6  165.1   8.3  165.1   8.3    0    .0
I527-10C   300.1  Cm  1 62.9077  43.2   5.9  170.0   0.0  170.0   0.0    0    .0
I527-10C   350.1  Cm  1 128.214  33.1 -64.8  172.6 -71.0  172.6 -71.0    0    .0
I527-10C   350.0  Cm  1 59.5476  26.1   1.9  153.2  -5.3  153.2  -5.3    0    .0
I527-10C   400.0  Cm  1 67.5611  16.8  18.8  143.2  11.2  143.2  11.2    0    .0
I527-10C   300.2  Cm  1 65.3532  17.2 -24.3  145.5 -31.9  145.5 -31.9    0    .0
I527-10C   400.1  Cm  0 135.006   4.1 -64.9  133.0 -72.9  133.0 -72.9    0    .0
I527-10C   435.1  Cm  0 139.063   4.8 -64.5  133.9 -72.4  133.9 -72.4    0    .0
I527-10C   435.0  Cm  1 69.6293   5.8  -9.3  133.0 -17.3  133.0 -17.3    0    .0
I527-10C   470.0  Cm  1 73.4396 358.7   5.0  125.7  -3.0  125.7  -3.0    0    .0
I527-10C   400.2  Cm  0 133.981 351.5 -60.1  115.6 -68.0  115.6 -68.0    0    .0
I527-10C   470.1  Cm  0 135.933 347.9 -61.3  110.6 -69.1  110.6 -69.1    0    .0
I527-10C   505.1  Cm  0 169.732 348.2 -65.4  109.9 -73.2  109.9 -73.2    0    .0
I527-10C   505.0  Cm  1 83.5111 347.7 -18.9  114.0 -26.7  114.0 -26.7    0    .0
I527-10C   520.0  Cm  1 81.3616 345.4  -7.9  112.0 -15.6  112.0 -15.6    0    .0
I527-10C   470.2  Cm  0 141.922 340.4 -55.6  102.3 -63.0  102.3 -63.0    0    .0
I527-10C   520.1  Cm  0 191.601 343.0 -65.7  102.3 -73.2  102.3 -73.2    0    .0
I527-10C   535.1  Cm  0 215.629 341.4 -72.4   94.4 -79.6   94.4 -79.6    0    .0
I527-10C   535.0  Cm  1 79.5226 342.1 -25.4  107.7 -32.9  107.7 -32.9    0    .0
I527-10C   550.0  Cm  1 42.7753 347.2 -22.4  113.3 -30.2  113.3 -30.2    0    .0
I527-10C   520.2  Cm  0 209.543 329.9 -80.2   43.1 -85.1   43.1 -85.1    0    .0
I527-10C   550.1  Cm  0 326.741 326.1 -86.2  330.9 -84.7  330.9 -84.7    0    .0
I527-10C   555.1  Cm  0 352.398 321.0 -83.6    0.0 -85.0    0.0 -85.0    0    .0
I527-10C   555.0  Cm  1 43.1071 340.3 -38.6  104.7 -46.1  104.7 -46.1    0    .0
I527-10C   560.0  Cm  1 26.2342 338.2 -11.2  104.4 -18.6  104.4 -18.6    0    .0
