India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I527-4C      0.0  Cm  2 94.7534 158.3  13.3  132.3  26.2  132.3  26.2    0    .0
I527-4C    100.0  Cm  1 101.499 155.9   9.4  130.2  22.1  130.2  22.1    0    .0
I527-4C    100.1  Cm  1 101.816 158.9   3.6  134.0  16.6  134.0  16.6    0    .0
I527-4C    150.1  Cm  1 107.746 154.2  -4.4  130.0   8.2  130.0   8.2    0    .0
I527-4C    150.0  Cm  1 106.970 156.4   0.3  131.8  13.1  131.8  13.1    0    .0
I527-4C    200.0  Cm  1 111.727 155.6   1.6  130.8  14.3  130.8  14.3    0    .0
I527-4C    100.2  Cm  2 112.398 157.0  -4.3  132.8   8.6  132.8   8.6    0    .0
I527-4C    200.1  Cm  1 114.727 157.2  -6.5  133.2   6.4  133.2   6.4    0    .0
I527-4C    200.1  Cm  1 113.613 153.4  -3.5  129.1   9.0  129.1   9.0    0    .0
I527-4C    100.2  Cm  1 114.769 152.5  -5.1  128.3   7.3  128.3   7.3    0    .0
I527-4C    200.1  Cm  1 114.661 152.4  -5.2  128.3   7.2  128.3   7.2    0    .0
I527-4C    250.1  Cm  1 117.961 154.2 -10.7  130.7   2.0  130.7   2.0    0    .0
I527-4C    250.0  Cm  1 118.578 152.4  -4.7  128.3   7.7  128.3   7.7    0    .0
I527-4C    300.0  Cm  1 118.540 153.0  -3.1  128.7   9.3  128.7   9.3    0    .0
I527-4C    300.0  Cm  1 118.540 153.0  -3.1  128.7   9.3  128.7   9.3    0    .0
I527-4C    200.2  Cm  1 119.823 152.6 -10.4  129.1   2.1  129.1   2.1    0    .0
I527-4C    300.1  Cm  1 124.511 151.5 -13.8  128.4  -1.4  128.4  -1.4    0    .0
I527-4C    350.1  Cm  1 144.870 149.1 -28.5  127.9 -16.3  127.9 -16.3    0    .0
I527-4C    350.0  Cm  1 126.661 148.2  -9.0  124.6   2.9  124.6   2.9    0    .0
I527-4C    400.0  Cm  1 123.564 150.7  -6.2  126.7   6.0  126.7   6.0    0    .0
I527-4C    300.2  Cm  1 133.108 150.9 -17.4  128.2  -5.1  128.2  -5.1    0    .0
I527-4C    400.1  Cm  1 148.877 150.0 -31.0  129.1 -18.7  129.1 -18.7    0    .0
I527-4C    435.1  Cm  1 150.210 151.0 -31.0  130.0 -18.6  130.0 -18.6    0    .0
I527-4C    435.0  Cm  1 126.223 151.7 -10.4  128.2   2.0  128.2   2.0    0    .0
I527-4C    470.0  Cm  1 123.467 149.6  -9.5  126.1   2.6  126.1   2.6    0    .0
I527-4C    400.2  Cm  1 152.027 151.8 -28.7  130.4 -16.2  130.4 -16.2    0    .0
I527-4C    470.1  Cm  1 149.091 150.6 -33.5  130.0 -21.1  130.0 -21.1    0    .0
I527-4C    505.1  Cm  1 162.823 150.3 -37.4  130.3 -24.9  130.3 -24.9    0    .0
I527-4C    505.0  Cm  1 123.704 148.6 -11.4  125.3   0.7  125.3   0.7    0    .0
I527-4C    520.0  Cm  1 117.578 147.2 -11.0  123.8   0.8  123.8   0.8    0    .0
I527-4C    470.2  Cm  1 149.278 149.5 -35.0  129.2 -22.7  129.2 -22.7    0    .0
I527-4C    520.1  Cm  1 169.868 148.0 -42.0  129.0 -29.8  129.0 -29.8    0    .0
I527-4C    535.1  Cm  1 188.626 145.4 -52.5  129.0 -40.4  129.0 -40.4    0    .0
I527-4C    535.0  Cm  1 107.292 151.7 -17.5  129.0  -5.1  129.0  -5.1    0    .0
I527-4C    550.0  Cm  1 60.4778 145.9 -15.4  123.2  -3.7  123.2  -3.7    0    .0
I527-4C    520.2  Cm  1 154.506 159.6 -67.4  142.9 -54.0  142.9 -54.0    0    .0
I527-4C    550.1  Cm  0 299.238 154.0 -75.8  142.5 -62.6  142.5 -62.6    0    .0
I527-4C    555.1  Cm  1 343.709 132.8 -75.9  131.7 -64.3  131.7 -64.3    0    .0
I527-4C    555.0  Cm  1 46.0184 148.8 -24.9  127.2 -12.7  127.2 -12.7    0    .0
I527-4C    560.0  Cm  1 35.9382 151.3 -17.0  128.5  -4.7  128.5  -4.7    0    .0
