India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I527-7B      0.0  Cm  1 95.6169 180.2 -42.5  125.2  19.5  125.2  19.5    0    .0
I527-7B    100.0  Cm  0 105.281 179.3 -46.7  124.5  15.3  124.5  15.3    0    .0
I527-7B    100.1  Cm  0 111.164 182.1 -47.9  126.4  14.1  126.4  14.1    0    .0
I527-7B    150.1  Cm  0 122.047 181.8 -53.7  126.1   8.3  126.1   8.3    0    .0
I527-7B    150.0  Cm  0 114.475 183.8 -49.6  127.5  12.3  127.5  12.3    0    .0
I527-7B    200.0  Cm  0 113.524 182.3 -48.6  126.6  13.4  126.6  13.4    0    .0
I527-7B    100.2  Cm  0 121.779 183.2 -52.5  127.0   9.4  127.0   9.4    0    .0
I527-7B    200.1  Cm  0 127.061 183.9 -54.8  127.3   7.2  127.3   7.2    0    .0
I527-7B    200.1  Cm  0 122.581 180.3 -49.5  125.2  12.5  125.2  12.5    0    .0
I527-7B    100.2  Cm  0 128.976 184.4 -53.1  127.7   8.8  127.7   8.8    0    .0
I527-7B    200.1  Cm  1 131.504 181.9 -51.9  126.2  10.1  126.2  10.1    0    .0
I527-7B    250.1  Cm  1 136.575 178.3 -56.8  124.1   5.2  124.1   5.2    0    .0
I527-7B    250.0  Cm  1 126.047 180.1 -50.9  125.1  11.1  125.1  11.1    0    .0
I527-7B    300.0  Cm  0 121.524 181.4 -51.9  125.9  10.1  125.9  10.1    0    .0
I527-7B    200.2  Cm  0 136.875 179.9 -56.7  125.0   5.3  125.0   5.3    0    .0
I527-7B    300.1  Cm  1 140.316 184.7 -57.2  127.5   4.7  127.5   4.7    0    .0
I527-7B    350.1  Cm  1 174.000 181.5 -64.7  125.6  -2.7  125.6  -2.7    0    .0
I527-7B    350.0  Cm  1 136.156 183.0 -55.7  126.7   6.3  126.7   6.3    0    .0
I527-7B    400.0  Cm  1 128.507 183.4 -53.8  127.0   8.1  127.0   8.1    0    .0
I527-7B    300.2  Cm  1 154.033 179.6 -61.4  124.8   0.6  124.8   0.6    0    .0
I527-7B    400.1  Cm  0 182.419 184.9 -67.1  126.9  -5.2  126.9  -5.2    0    .0
I527-7B    435.1  Cm  1 189.787 183.2 -67.1  126.2  -5.1  126.2  -5.1    0    .0
I527-7B    435.0  Cm  0 135.752 181.3 -56.0  125.8   6.0  125.8   6.0    0    .0
I527-7B    470.0  Cm  0 126.406 183.7 -55.4  127.1   6.5  127.1   6.5    0    .0
I527-7B    400.2  Cm  0 180.762 181.9 -62.7  125.9  -0.8  125.9  -0.8    0    .0
I527-7B    470.1  Cm  0 181.496 181.2 -63.8  125.5  -1.8  125.5  -1.8    0    .0
I527-7B    505.1  Cm  0 204.071 182.7 -68.2  126.0  -6.2  126.0  -6.2    0    .0
I527-7B    505.0  Cm  1 132.817 177.5 -57.3  123.6   4.7  123.6   4.7    0    .0
I527-7B    520.0  Cm  1 121.600 179.6 -56.2  124.8   5.8  124.8   5.8    0    .0
I527-7B    470.2  Cm  0 187.541 177.9 -69.9  124.3  -7.9  124.3  -7.9    0    .0
I527-7B    520.1  Cm  0 220.733 180.3 -71.8  125.1  -9.8  125.1  -9.8    0    .0
I527-7B    535.1  Cm  0 250.221 174.8 -75.2  123.6 -13.2  123.6 -13.2    0    .0
I527-7B    535.0  Cm  0 119.113 178.7 -60.2  124.4   1.8  124.4   1.8    0    .0
I527-7B    550.0  Cm  0 68.6635 180.7 -60.3  125.3   1.7  125.3   1.7    0    .0
I527-7B    520.2  Cm  0 200.808 170.6 -80.0  123.3 -18.2  123.3 -18.2    0    .0
I527-7B    550.1  Cm  1 373.292 155.8 -83.7  122.2 -22.2  122.2 -22.2    0    .0
I527-7B    555.1  Cm  1 406.102 155.5 -84.5  122.5 -23.0  122.5 -23.0    0    .0
I527-7B    555.0  Cm  1 56.0863 176.9 -63.8  123.6  -1.9  123.6  -1.9    0    .0
I527-7B    560.0  Cm  1 38.1740 180.6 -62.4  125.3  -0.4  125.3  -0.4    0    .0
