India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I1510-6B     0.0  Cm  1 11.9085 333.4 -34.3   66.2 -67.4   66.2 -67.4    0    .0
I1510-6B   100.0  Cm  1 12.5819 338.0 -31.4   78.7 -68.7   78.7 -68.7    0    .0
I1510-6B   100.1  Cm  0 16.2897 342.6 -47.3   28.8 -77.4   28.8 -77.4    0    .0
I1510-6B   150.1  Cm  0 23.0495 338.1 -59.8  352.3 -69.4  352.3 -69.4    0    .0
I1510-6B   150.0  Cm  1 17.0135 343.5 -46.3   33.2 -78.2   33.2 -78.2    0    .0
I1510-6B   200.0  Cm  1 12.7063 348.2 -31.7   99.2 -74.6   99.2 -74.6    0    .0
I1510-6B   100.2  Cm  0 18.2818 351.3 -49.1    6.4 -82.1    6.4 -82.1    0    .0
I1510-6B   200.1  Cm  1 22.9780 345.9 -60.3  342.5 -71.7  342.5 -71.7    0    .0
I1510-6B   200.1  Cm  0 20.0084 349.4 -54.0  351.0 -77.9  351.0 -77.9    0    .0
I1510-6B   100.2  Cm  0 23.1961 344.2 -57.8  349.9 -73.1  349.9 -73.1    0    .0
I1510-6B   200.1  Cm  0 23.5745 345.7 -58.8  345.7 -72.8  345.7 -72.8    0    .0
I1510-6B   250.1  Cm  0 28.9256 351.3 -60.9  334.0 -72.3  334.0 -72.3    0    .0
I1510-6B   250.0  Cm  1 17.9594 354.4 -50.7  347.8 -82.3  347.8 -82.3    0    .0
I1510-6B   300.0  Cm  1 14.0762 354.5 -35.2  112.5 -80.3  112.5 -80.3    0    .0
I1510-6B   200.2  Cm  0 24.8344 348.1 -57.6  344.5 -74.5  344.5 -74.5    0    .0
I1510-6B   300.1  Cm  0 29.4373 349.7 -62.1  334.9 -70.9  334.9 -70.9    0    .0
I1510-6B   350.1  Cm  0 50.9732 347.1 -74.1  326.9 -59.3  326.9 -59.3    0    .0
I1510-6B   350.0  Cm  0 21.6534 351.6 -60.4  334.2 -72.8  334.2 -72.8    0    .0
I1510-6B   400.0  Cm  1 14.2736 349.3 -42.3   58.7 -82.0   58.7 -82.0    0    .0
I1510-6B   300.2  Cm  0 34.2784 348.6 -70.8  328.2 -62.6  328.2 -62.6    0    .0
I1510-6B   400.1  Cm  0 62.1869 351.7 -78.8  322.8 -55.1  322.8 -55.1    0    .0
I1510-6B   435.1  Cm  0 67.4744 341.2 -81.7  324.3 -51.8  324.3 -51.8    0    .0
I1510-6B   435.0  Cm  0 21.9306 356.9 -60.7  325.3 -73.2  325.3 -73.2    0    .0
I1510-6B   470.0  Cm  1 15.3437 352.8 -52.1  348.2 -80.6  348.2 -80.6    0    .0
I1510-6B   400.2  Cm  0 52.3529 347.2 -84.5  321.9 -49.4  321.9 -49.4    0    .0
I1510-6B   470.1  Cm  0 67.5725  11.0 -77.2  315.6 -56.5  315.6 -56.5    0    .0
I1510-6B   505.1  Cm  0 92.2657 343.9 -83.7  322.7 -50.1  322.7 -50.1    0    .0
I1510-6B   505.0  Cm  0 25.0887 348.2 -65.6  332.7 -67.4  332.7 -67.4    0    .0
I1510-6B   520.0  Cm  0 18.7596 344.9 -62.6  340.0 -69.4  340.0 -69.4    0    .0
I1510-6B   470.2  Cm  0 66.2789 344.7 -80.4  324.2 -53.2  324.2 -53.2    0    .0
I1510-6B   520.1  Cm  0 92.5792  15.1 -83.2  317.2 -50.6  317.2 -50.6    0    .0
I1510-6B   535.1  Cm  0 102.615 355.0 -83.2  320.9 -50.8  320.9 -50.8    0    .0
I1510-6B   535.0  Cm  0 30.5682 353.6 -74.7  323.3 -59.2  323.3 -59.2    0    .0
I1510-6B   550.0  Cm  0 10.6307  14.7 -64.5  303.1 -67.9  303.1 -67.9    0    .0
I1510-6B   520.2  Cm  0 82.9088 333.9 -84.3  323.9 -49.1  323.9 -49.1    0    .0
I1510-6B   550.1  Cm  0 232.466 355.7 -87.2  320.3 -46.8  320.3 -46.8    0    .0
I1510-6B   555.1  Cm  0 339.074 260.9 -88.0  322.7 -43.7  322.7 -43.7    0    .0
I1510-6B   555.0  Cm  0  8.5305  24.3 -81.6  314.5 -51.5  314.5 -51.5    0    .0
I1510-6B   560.0  Cm  0  7.3637 343.8 -75.8  327.3 -57.4  327.3 -57.4    0    .0
