India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I92-5B       0.0  Cm  0 32.4530 260.0  73.0   17.0  53.4   17.0  53.4    0    .0
I92-5B     100.0  Cm  1 30.4997 256.5  73.6   17.6  54.6   17.6  54.6    0    .0
I92-5B     100.1  Cm  0 28.1653 256.0  72.5   15.9  54.5   15.9  54.5    0    .0
I92-5B     150.1  Cm  1 15.9858 250.1  65.2    2.8  54.9    2.8  54.9    0    .0
I92-5B     150.0  Cm  0 21.2623 242.3  72.1   14.5  58.6   14.5  58.6    0    .0
I92-5B     200.0  Cm  0 21.7774 229.2  68.8    8.6  63.3    8.6  63.3    0    .0
I92-5B     100.2  Cm  0 19.3639 240.7  71.8   14.0  59.1   14.0  59.1    0    .0
I92-5B     200.1  Cm  1 13.2012 238.4  62.6  355.8  59.3  355.8  59.3    0    .0
I92-5B     200.1  Cm  1 14.8867 247.2  65.6    2.9  56.2    2.9  56.2    0    .0
I92-5B     100.2  Cm  1 14.0497 241.6  64.6    0.1  58.3    0.1  58.3    0    .0
I92-5B     200.1  Cm  1 12.2118 246.5  60.9  354.7  55.2  354.7  55.2    0    .0
I92-5B     250.1  Cm  1  5.9481 252.2 -19.2  290.6  -5.5  290.6  -5.5    0    .0
I92-5B     250.0  Cm  1  9.2374 245.5  56.8  347.7  54.1  347.7  54.1    0    .0
I92-5B     300.0  Cm  1  7.0435 265.9  67.8   10.2  49.9   10.2  49.9    0    .0
I92-5B     200.2  Cm  1  4.3264 261.5  48.5  344.9  41.6  344.9  41.6    0    .0
I92-5B     300.1  Cm  1  6.9813 265.9 -68.8  258.4 -47.6  258.4 -47.6    0    .0
I92-5B     350.1  Cm  0 11.5217 269.2 -77.0  247.3 -51.8  247.3 -51.8    0    .0
I92-5B     350.0  Cm  0  6.2809 253.9 -71.8  251.5 -45.9  251.5 -45.9    0    .0
I92-5B     400.0  Cm  1  4.1563 252.4 -66.8  256.5 -42.4  256.5 -42.4    0    .0
I92-5B     300.2  Cm  0  6.0296 255.0 -74.4  248.6 -47.6  248.6 -47.6    0    .0
I92-5B     400.1  Cm  0 10.7412 252.5 -81.8  238.4 -50.9  238.4 -50.9    0    .0
I92-5B     435.1  Cm  0 13.4693 245.8 -82.8  236.3 -50.6  236.3 -50.6    0    .0
I92-5B     435.0  Cm  0  6.0033 253.9 -77.2  244.9 -48.8  244.9 -48.8    0    .0
I92-5B     470.0  Cm  1  4.4546 253.9 -73.9  249.0 -47.1  249.0 -47.1    0    .0
I92-5B     400.2  Cm  0  8.3891 250.7 -81.7  238.4 -50.6  238.4 -50.6    0    .0
I92-5B     470.1  Cm  0 13.7067 250.0 -82.5  237.3 -50.9  237.3 -50.9    0    .0
I92-5B     505.1  Cm  0 21.0552 258.5 -83.4  236.6 -52.2  236.6 -52.2    0    .0
I92-5B     505.0  Cm  0  7.7811 257.0 -81.6  239.2 -51.4  239.2 -51.4    0    .0
I92-5B     520.0  Cm  0  6.2676 244.4 -80.2  239.5 -49.0  239.5 -49.0    0    .0
I92-5B     470.2  Cm  0 14.5670 247.2 -85.0  233.5 -51.8  233.5 -51.8    0    .0
I92-5B     520.1  Cm  0 23.2460 174.6 -88.4  225.8 -52.4  225.8 -52.4    0    .0
I92-5B     535.1  Cm  1 35.1497 260.6 -85.1  234.1 -52.9  234.1 -52.9    0    .0
I92-5B     535.0  Cm  0  9.7364 255.9 -84.1  235.4 -52.2  235.4 -52.2    0    .0
I92-5B     550.0  Cm  0  3.3096 272.7 -85.1  234.3 -53.9  234.3 -53.9    0    .0
I92-5B     520.2  Cm  0 31.4689 273.9 -85.1  234.4 -54.0  234.4 -54.0    0    .0
I92-5B     550.1  Cm  0 93.6542  91.2 -88.0  222.6 -53.9  222.6 -53.9    0    .0
I92-5B     555.1  Cm  1 144.033 171.9 -84.7  224.9 -48.8  224.9 -48.8    0    .0
I92-5B     555.0  Cm  1  6.9968  92.7 -89.5  225.2 -54.0  225.2 -54.0    0    .0
I92-5B     560.0  Cm  0  6.1442 280.1 -89.0  227.6 -54.2  227.6 -54.2    0    .0
