India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I1512-3B     0.0  Cm  0 26.7204 336.4  43.2   20.5  22.6   20.5  22.6    0    .0
I1512-3B   100.0  Cm  1 21.2756 349.2  36.3   30.0  14.6   30.0  14.6    0    .0
I1512-3B   100.1  Cm  0 19.0929 349.3  23.8   29.2   2.1   29.2   2.1    0    .0
I1512-3B   150.1  Cm  0 17.4657 351.9 -15.9   29.1 -37.6   29.1 -37.6    0    .0
I1512-3B   150.0  Cm  0 16.7698 351.6   4.4   30.2 -17.4   30.2 -17.4    0    .0
I1512-3B   200.0  Cm  0 15.6842 358.1  14.7   37.2  -7.3   37.2  -7.3    0    .0
I1512-3B   100.2  Cm  1 16.8049   0.5 -10.7   39.5 -32.7   39.5 -32.7    0    .0
I1512-3B   200.1  Cm  0 18.2503 359.3 -27.6   38.0 -49.6   38.0 -49.6    0    .0
I1512-3B   200.1  Cm  1 17.7194 359.4 -19.4   38.2 -41.4   38.2 -41.4    0    .0
I1512-3B   100.2  Cm  1 19.2389   1.7 -28.1   41.3 -50.1   41.3 -50.1    0    .0
I1512-3B   200.1  Cm  1 19.6259 357.8 -29.6   35.9 -51.5   35.9 -51.5    0    .0
I1512-3B   250.1  Cm  1 25.1544   2.0 -41.9   42.3 -63.9   42.3 -63.9    0    .0
I1512-3B   250.0  Cm  1 16.8773   6.2 -18.9   46.8 -40.8   46.8 -40.8    0    .0
I1512-3B   300.0  Cm  1 16.5971   9.6  -3.7   49.6 -25.4   49.6 -25.4    0    .0
I1512-3B   200.2  Cm  1 21.5004   5.9 -35.0   47.9 -56.8   47.9 -56.8    0    .0
I1512-3B   300.1  Cm  1 26.4946   7.0 -47.3   52.3 -69.0   52.3 -69.0    0    .0
I1512-3B   350.1  Cm  0 62.2719 356.1 -70.9  243.1 -86.8  243.1 -86.8    0    .0
I1512-3B   350.0  Cm  1 24.0053   7.7 -47.4   53.7 -69.0   53.7 -69.0    0    .0
I1512-3B   400.0  Cm  1 18.6113  12.6 -24.2   55.5 -45.6   55.5 -45.6    0    .0
I1512-3B   300.2  Cm  1 33.0006  12.3 -60.1   78.8 -80.5   78.8 -80.5    0    .0
I1512-3B   400.1  Cm  0 69.3354 356.9 -74.9  225.6 -83.0  225.6 -83.0    0    .0
I1512-3B   435.1  Cm  0 77.4760  24.2 -76.7  190.2 -78.8  190.2 -78.8    0    .0
I1512-3B   435.0  Cm  1 26.3891  20.2 -46.7   75.1 -66.3   75.1 -66.3    0    .0
I1512-3B   470.0  Cm  1 21.2303  22.8 -37.3   73.3 -56.8   73.3 -56.8    0    .0
I1512-3B   400.2  Cm  0 63.3609  31.7 -78.4  192.3 -76.5  192.3 -76.5    0    .0
I1512-3B   470.1  Cm  0 76.8434  25.0 -75.9  185.9 -79.1  185.9 -79.1    0    .0
I1512-3B   505.1  Cm  0 106.068   4.7 -84.0  217.2 -74.0  217.2 -74.0    0    .0
I1512-3B   505.0  Cm  1 31.6351  21.6 -59.4   97.1 -77.2   97.1 -77.2    0    .0
I1512-3B   520.0  Cm  1 25.3043  19.1 -53.5   80.6 -72.9   80.6 -72.9    0    .0
I1512-3B   470.2  Cm  0 81.7198  21.4 -77.8  196.1 -78.5  196.1 -78.5    0    .0
I1512-3B   520.1  Cm  0 114.053  14.2 -80.3  208.3 -77.2  208.3 -77.2    0    .0
I1512-3B   535.1  Cm  0 131.775  17.9 -83.1  211.1 -74.4  211.1 -74.4    0    .0
I1512-3B   535.0  Cm  0 37.4967   8.7 -66.4  108.2 -86.3  108.2 -86.3    0    .0
I1512-3B   550.0  Cm  1 18.7520  12.3 -55.0   68.9 -75.8   68.9 -75.8    0    .0
I1512-3B   520.2  Cm  0 107.737 261.5 -80.1  242.5 -64.7  242.5 -64.7    0    .0
I1512-3B   550.1  Cm  1 241.506  46.0 -86.1  210.5 -70.5  210.5 -70.5    0    .0
I1512-3B   555.1  Cm  0 357.575 281.5 -88.1  223.9 -68.3  223.9 -68.3    0    .0
I1512-3B   555.0  Cm  0 14.5318   8.3 -68.6  144.2 -86.9  144.2 -86.9    0    .0
I1512-3B   560.0  Cm  1 11.2861  11.3 -67.0  121.8 -85.6  121.8 -85.6    0    .0
