India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I1512-2C     0.0  Cm  1 15.3586 327.1  43.6  352.3  28.8  352.3  28.8    0    .0
I1512-2C   100.0  Cm  0 13.2007 335.3  38.7  358.3  23.0  358.3  23.0    0    .0
I1512-2C   100.1  Cm  1 11.7680 335.7  29.6  357.4  13.9  357.4  13.9    0    .0
I1512-2C   150.1  Cm  1  9.7561 341.1   5.6  359.8 -10.5  359.8 -10.5    0    .0
I1512-2C   150.0  Cm  1  9.7734 342.4  18.6    2.4   2.4    2.4   2.4    0    .0
I1512-2C   200.0  Cm  0  9.7058 347.9  22.0    7.8   5.4    7.8   5.4    0    .0
I1512-2C   100.2  Cm  1  8.6206 349.6   7.4    8.5  -9.3    8.5  -9.3    0    .0
I1512-2C   200.1  Cm  1  8.6617 351.1  -5.3    9.4 -22.1    9.4 -22.1    0    .0
I1512-2C   200.1  Cm  1  8.4594 347.3  -2.0    5.6 -18.6    5.6 -18.6    0    .0
I1512-2C   100.2  Cm  1  8.3599 351.5 -10.4    9.6 -27.2    9.6 -27.2    0    .0
I1512-2C   200.1  Cm  1  8.5346 350.4 -14.0    8.1 -30.8    8.1 -30.8    0    .0
I1512-2C   250.1  Cm  1  9.5811   0.9 -33.3   20.2 -50.3   20.2 -50.3    0    .0
I1512-2C   250.0  Cm  1  7.8442 358.2  -6.6   17.1 -23.6   17.1 -23.6    0    .0
I1512-2C   300.0  Cm  1  7.5918   3.5   9.4   22.4  -7.6   22.4  -7.6    0    .0
I1512-2C   200.2  Cm  1  9.5532   4.8 -26.3   24.9 -43.2   24.9 -43.2    0    .0
I1512-2C   300.1  Cm  1 10.4734   4.6  46.5   22.6  29.5   22.6  29.5    0    .0
I1512-2C   350.1  Cm  0 22.1974  17.5 -74.2  131.3 -84.9  131.3 -84.9    0    .0
I1512-2C   350.0  Cm  1  8.7646  12.3 -28.9   34.4 -45.4   34.4 -45.4    0    .0
I1512-2C   400.0  Cm  1  7.6792  13.0  -8.3   33.2 -24.9   33.2 -24.9    0    .0
I1512-2C   300.2  Cm  1 13.2730  17.8 -55.0   50.8 -70.5   50.8 -70.5    0    .0
I1512-2C   400.1  Cm  0 27.6303  28.5 -77.2  152.0 -81.7  152.0 -81.7    0    .0
I1512-2C   435.1  Cm  0 31.9135  47.8 -74.2  136.7 -76.8  136.7 -76.8    0    .0
I1512-2C   435.0  Cm  1 11.2854  29.4 -50.3   64.5 -63.9   64.5 -63.9    0    .0
I1512-2C   470.0  Cm  1  8.8966  26.0 -30.0   51.3 -44.9   51.3 -44.9    0    .0
I1512-2C   400.2  Cm  0 26.9076  24.6 -74.7  134.3 -83.0  134.3 -83.0    0    .0
I1512-2C   470.1  Cm  0 34.2069  57.6 -73.4  138.1 -74.0  138.1 -74.0    0    .0
I1512-2C   505.1  Cm  0 47.5676  67.4 -79.5  161.7 -73.9  161.7 -73.9    0    .0
I1512-2C   505.0  Cm  1 14.3865  34.5 -64.4   91.6 -75.1   91.6 -75.1    0    .0
I1512-2C   520.0  Cm  1 11.3553  28.4 -56.7   69.2 -70.2   69.2 -70.2    0    .0
I1512-2C   470.2  Cm  1 35.4159  52.2 -72.4  131.9 -74.9  131.9 -74.9    0    .0
I1512-2C   520.1  Cm  0 50.0520  76.3 -81.5  169.7 -73.0  169.7 -73.0    0    .0
I1512-2C   535.1  Cm  0 61.0161  72.9 -82.1  171.2 -73.5  171.2 -73.5    0    .0
I1512-2C   535.0  Cm  1 16.4103  37.0 -66.8  101.4 -76.2  101.4 -76.2    0    .0
I1512-2C   550.0  Cm  1  8.2625  41.7 -65.8  103.7 -74.1  103.7 -74.1    0    .0
I1512-2C   520.2  Cm  0 50.1359  60.6 -83.3  175.5 -75.1  175.5 -75.1    0    .0
I1512-2C   550.1  Cm  1 108.863  96.7 -82.8  176.8 -70.8  176.8 -70.8    0    .0
I1512-2C   555.1  Cm  1 164.235 129.6 -83.5  185.4 -68.3  185.4 -68.3    0    .0
I1512-2C   555.0  Cm  1  8.2919  35.4 -73.8  130.6 -80.0  130.6 -80.0    0    .0
I1512-2C   560.0  Cm  1  6.5566  58.2 -75.1  144.1 -74.5  144.1 -74.5    0    .0
