India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I531-5C      0.0  Cm  1 117.235 253.4 -39.3   40.8 -31.8   40.8 -31.8    0    .0
I531-5C    100.0  Cm  2 116.354 256.0 -39.5   42.8 -32.7   42.8 -32.7    0    .0
I531-5C    100.1  Cm  1 116.612 253.1 -39.3   40.5 -31.7   40.5 -31.7    0    .0
I531-5C    150.1  Cm  1 112.678 251.9 -41.3   38.6 -33.3   38.6 -33.3    0    .0
I531-5C    150.0  Cm  1 111.687 251.9 -40.9   38.8 -32.9   38.8 -32.9    0    .0
I531-5C    200.0  Cm  1 103.230 248.0 -42.6   34.8 -33.4   34.8 -33.4    0    .0
I531-5C    100.2  Cm  1 103.786 248.8 -42.8   35.4 -33.7   35.4 -33.7    0    .0
I531-5C    200.1  Cm  1 103.559 248.5 -43.0   35.1 -33.9   35.1 -33.9    0    .0
I531-5C    200.1  Cm  1 105.754 243.9 -45.2   30.4 -34.8   30.4 -34.8    0    .0
I531-5C    200.1  Cm  1 104.223 242.4 -44.4   29.5 -33.7   29.5 -33.7    0    .0
I531-5C    100.2  Cm  1 104.143 243.2 -44.4   30.2 -33.8   30.2 -33.8    0    .0
I531-5C    200.1  Cm  1 105.682 243.8 -46.7   29.6 -36.1   29.6 -36.1    0    .0
I531-5C    250.1  Cm  1 98.5625 244.0 -48.4   29.0 -37.8   29.0 -37.8    0    .0
I531-5C    250.0  Cm  1 94.0936 239.4 -47.6   25.7 -35.9   25.7 -35.9    0    .0
I531-5C    300.0  Cm  1 82.1846 235.3 -52.3   20.6 -39.4   20.6 -39.4    0    .0
I531-5C    200.2  Cm  1 84.1265 236.2 -52.9   21.0 -40.1   21.0 -40.1    0    .0
I531-5C    300.1  Cm  1 85.0676 234.7 -55.3   18.8 -42.1   18.8 -42.1    0    .0
I531-5C    350.1  Cm  0 138.068 228.8 -71.6    5.1 -56.0    5.1 -56.0    0    .0
I531-5C    350.0  Cm  1 77.0642 223.4 -57.0   10.1 -41.6   10.1 -41.6    0    .0
I531-5C    400.0  Cm  1 69.6589 217.3 -58.5    5.3 -42.1    5.3 -42.1    0    .0
I531-5C    300.2  Cm  1 76.8953 216.1 -62.2    3.1 -45.6    3.1 -45.6    0    .0
I531-5C    400.1  Cm  0 122.204 218.2 -74.0  358.3 -56.9  358.3 -56.9    0    .0
I531-5C    435.1  Cm  0 119.012 218.1 -73.4  358.6 -56.4  358.6 -56.4    0    .0
I531-5C    435.0  Cm  0 68.9259 207.0 -63.3  356.9 -45.6  356.9 -45.6    0    .0
I531-5C    470.0  Cm  0 60.8310 199.6 -63.0  352.4 -44.6  352.4 -44.6    0    .0
I531-5C    400.2  Cm  0 109.712 205.8 -75.0  351.9 -56.9  351.9 -56.9    0    .0
I531-5C    470.1  Cm  0 110.452 203.4 -76.1  350.3 -57.7  350.3 -57.7    0    .0
I531-5C    505.1  Cm  0 120.103 194.8 -76.5  346.4 -57.7  346.4 -57.7    0    .0
I531-5C    505.0  Cm  0 66.0157 183.7 -66.0  342.2 -47.0  342.2 -47.0    0    .0
I531-5C    520.0  Cm  1 56.8484 180.8 -64.3  340.5 -45.3  340.5 -45.3    0    .0
I531-5C    470.2  Cm  0 104.364 182.1 -77.2  340.9 -58.2  340.9 -58.2    0    .0
I531-5C    520.1  Cm  0 130.506 185.4 -79.6  342.0 -60.7  342.0 -60.7    0    .0
I531-5C    535.1  Cm  0 205.971 194.0 -84.2  343.4 -65.3  343.4 -65.3    0    .0
I531-5C    535.0  Cm  0 51.3262 176.9 -70.3  338.3 -51.3  338.3 -51.3    0    .0
I531-5C    550.0  Cm  0 11.8500 177.8 -68.9  338.8 -49.9  338.8 -49.9    0    .0
I531-5C    520.2  Cm  0 142.899 212.8 -84.9  347.0 -66.5  347.0 -66.5    0    .0
I531-5C    550.1  Cm  0 480.289 225.5 -86.3  347.1 -68.3  347.1 -68.3    0    .0
I531-5C    555.1  Cm  1 499.270 282.0 -87.2  348.8 -71.4  348.8 -71.4    0    .0
I531-5C    555.0  Cm  1  8.4926 167.6 -77.7  334.9 -58.9  334.9 -58.9    0    .0
I531-5C    560.0  Cm  1  2.1997 156.5 -79.9  331.6 -61.5  331.6 -61.5    0    .0
