India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I92-2B       0.0  Cm  1 45.3572 193.9   4.0   24.7  59.9   24.7  59.9    0    .0
I92-2B     100.0  Cm  1 43.2553 195.0   3.6   26.4  59.2   26.4  59.2    0    .0
I92-2B     100.1  Cm  1 42.5556 193.9  -0.9   21.0  55.4   21.0  55.4    0    .0
I92-2B     150.1  Cm  1 39.9242 196.2 -17.9   15.9  38.7   15.9  38.7    0    .0
I92-2B     150.0  Cm  0 37.3125 193.2  -5.9   17.2  51.0   17.2  51.0    0    .0
I92-2B     200.0  Cm  1 34.5163 195.2   1.8   25.1  57.4   25.1  57.4    0    .0
I92-2B     100.2  Cm  1 34.4482 196.4  -6.3   21.6  49.6   21.6  49.6    0    .0
I92-2B     200.1  Cm  1 35.7502 193.3 -19.2   12.1  38.2   12.1  38.2    0    .0
I92-2B     200.1  Cm  1 35.0600 196.9 -15.4   17.8  40.8   17.8  40.8    0    .0
I92-2B     200.1  Cm  1 35.0600 196.9 -15.4   17.8  40.8   17.8  40.8    0    .0
I92-2B     200.1  Cm  4 34.8923 190.9 -13.6   10.8  44.2   10.8  44.2    0    .0
I92-2B     200.1  Cm  1 35.0838 193.3 -14.9   13.5  42.3   13.5  42.3    0    .0
I92-2B     100.2  Cm  1 35.3667 196.2 -16.9   16.3  39.6   16.3  39.6    0    .0
I92-2B     200.1  Cm  1 35.4562 196.7 -19.8   15.7  36.7   15.7  36.7    0    .0
I92-2B     250.1  Cm  1 37.3604 195.7 -39.7    8.6  17.8    8.6  17.8    0    .0
I92-2B     250.0  Cm  1 28.5439 196.1 -16.9   16.2  39.7   16.2  39.7    0    .0
I92-2B     300.0  Cm  1 17.7729 195.7  -8.0   19.6  48.2   19.6  48.2    0    .0
I92-2B     200.2  Cm  1 19.0759 197.5 -23.8   15.1  32.7   15.1  32.7    0    .0
I92-2B     300.1  Cm  1 23.6106 199.0 -52.2    7.5   5.2    7.5   5.2    0    .0
I92-2B     350.1  Cm  1 27.5174 204.2 -64.2    6.3  -7.1    6.3  -7.1    0    .0
I92-2B     350.0  Cm  1 19.5759 201.5 -55.1    8.1   2.0    8.1   2.0    0    .0
I92-2B     400.0  Cm  1 15.9492 197.3 -49.2    7.3   8.3    7.3   8.3    0    .0
I92-2B     300.2  Cm  1 19.0975 198.1 -57.4    5.6   0.3    5.6   0.3    0    .0
I92-2B     400.1  Cm  0 25.2979 200.8 -66.9    4.1  -9.2    4.1  -9.2    0    .0
I92-2B     435.1  Cm  0 29.6330 200.9 -70.5    3.0 -12.6    3.0 -12.6    0    .0
I92-2B     435.0  Cm  1 17.2268 198.1 -57.8    5.5  -0.1    5.5  -0.1    0    .0
I92-2B     470.0  Cm  1 14.6677 199.6 -53.0    7.7   4.2    7.7   4.2    0    .0
I92-2B     400.2  Cm  0 22.5544 197.8 -67.7    2.8  -9.7    2.8  -9.7    0    .0
I92-2B     470.1  Cm  0 29.4625 201.2 -71.6    2.7 -13.7    2.7 -13.7    0    .0
I92-2B     505.1  Cm  1 40.8581 200.2 -78.1    0.3 -19.7    0.3 -19.7    0    .0
I92-2B     505.0  Cm  0 17.7053 198.6 -65.2    3.8  -7.2    3.8  -7.2    0    .0
I92-2B     520.0  Cm  0 15.1419 195.8 -60.8    3.7  -2.7    3.7  -2.7    0    .0
I92-2B     470.2  Cm  0 29.7436 199.1 -76.0    0.8 -17.7    0.8 -17.7    0    .0
I92-2B     520.1  Cm  0 44.5828 199.6 -81.1  359.2 -22.6  359.2 -22.6    0    .0
I92-2B     535.1  Cm  0 66.6829 216.3 -85.0  359.3 -27.0  359.3 -27.0    0    .0
I92-2B     535.0  Cm  0 18.6682 201.3 -73.4    2.2 -15.4    2.2 -15.4    0    .0
I92-2B     550.0  Cm  0  7.7478 208.3 -63.7    8.2  -7.3    8.2  -7.3    0    .0
I92-2B     520.2  Cm  0 62.3708 242.8 -83.6    2.5 -27.9    2.5 -27.9    0    .0
I92-2B     550.1  Cm  0 208.212  47.2 -88.3  354.5 -32.2  354.5 -32.2    0    .0
I92-2B     555.1  Cm  1 285.660 127.9 -85.1  351.6 -27.9  351.6 -27.9    0    .0
I92-2B     555.0  Cm  1 11.7885 181.5 -83.9  356.2 -24.9  356.2 -24.9    0    .0
I92-2B     560.0  Cm  1 10.4107 191.9 -82.2  357.7 -23.4  357.7 -23.4    0    .0
