India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I531-4B    100.1  Cm  1 198.055  15.3  -7.4   43.4 -38.1   43.4 -38.1    0    .0
I531-5C    100.1  Cm  1 116.612 253.1 -39.3   40.5 -31.7   40.5 -31.7    0    .0
I531-6B    100.1  Cm  0 255.156 177.6 -41.2   45.8 -35.2   45.8 -35.2    0    .0
I92-2B     150.1  Cm  1 39.9242 196.2 -17.9   15.9  38.7   15.9  38.7    0    .0
I92-5B     150.1  Cm  1 15.9858 250.1  65.2    2.8  54.9    2.8  54.9    0    .0
I914-8B    150.1  Cm  2  9.5440 321.4  -2.8  146.9 -37.8  146.9 -37.8    0    .0
I1510-6B   150.1  Cm  0 23.0495 338.1 -59.8  352.3 -69.4  352.3 -69.4    0    .0
I1512-2C   150.1  Cm  1  9.7561 341.1   5.6  359.8 -10.5  359.8 -10.5    0    .0
I1512-3B   150.1  Cm  0 17.4657 351.9 -15.9   29.1 -37.6   29.1 -37.6    0    .0
I1530-3C   150.1  Cm  1 18.8484 300.9 -13.9  295.1 -30.8  295.1 -30.8    0    .0
I1531-7D   150.1  Cm  0 37.7606 273.6 -70.3   43.3 -42.9   43.3 -42.9    0    .0
I527-1C    150.1  Cm  0 66.8972 165.6 -32.9  130.7  13.0  130.7  13.0    0    .0
I527-4C    150.1  Cm  1 107.746 154.2  -4.4  130.0   8.2  130.0   8.2    0    .0
I527-6C    150.1  Cm  0 151.676 160.8 -38.4  110.8   9.7  110.8   9.7    0    .0
I527-7B    150.1  Cm  0 122.047 181.8 -53.7  126.1   8.3  126.1   8.3    0    .0
I527-8C    150.1  Cm  1 96.7986 126.9  50.9  233.9  56.5  233.9  56.5    0    .0
I527-9C    150.1  Cm  1 107.604 166.7  23.6  234.4  55.3  234.4  55.3    0    .0
I527-10C   150.1  Cm  1 77.6470  74.4  37.9  195.8  35.4  195.8  35.4    0    .0
I531-4B    150.1  Cm  1 190.702  13.9  -9.9   42.2 -40.7   42.2 -40.7    0    .0
I531-5C    150.1  Cm  1 112.678 251.9 -41.3   38.6 -33.3   38.6 -33.3    0    .0
I531-6B    150.1  Cm  0 243.427 171.6 -43.1   40.3 -37.2   40.3 -37.2    0    .0
I92-2B     150.0  Cm  0 37.3125 193.2  -5.9   17.2  51.0   17.2  51.0    0    .0
I92-5B     150.0  Cm  0 21.2623 242.3  72.1   14.5  58.6   14.5  58.6    0    .0
I914-8B    150.0  Cm  2  9.4269 318.3  -0.7  145.4 -34.3  145.4 -34.3    0    .0
I1510-6B   150.0  Cm  1 17.0135 343.5 -46.3   33.2 -78.2   33.2 -78.2    0    .0
I1512-2C   150.0  Cm  1  9.7734 342.4  18.6    2.4   2.4    2.4   2.4    0    .0
I1512-3B   150.0  Cm  0 16.7698 351.6   4.4   30.2 -17.4   30.2 -17.4    0    .0
I1530-3C   150.0  Cm  1 17.5549 304.0   0.5  307.9 -21.6  307.9 -21.6    0    .0
I1531-7D   150.0  Cm  0 32.7562 290.4 -68.5   47.2 -48.4   47.2 -48.4    0    .0
I527-1C    150.0  Cm  0 65.1965 167.3 -29.2  131.4  16.8  131.4  16.8    0    .0
I527-4C    150.0  Cm  1 106.970 156.4   0.3  131.8  13.1  131.8  13.1    0    .0
I527-6C    150.0  Cm  1 146.881 159.5 -37.9  109.7   9.9  109.7   9.9    0    .0
I527-7B    150.0  Cm  0 114.475 183.8 -49.6  127.5  12.3  127.5  12.3    0    .0
I527-8C    150.0  Cm  2 102.498 128.7  53.5  234.5  59.3  234.5  59.3    0    .0
I527-9C    150.0  Cm  1 109.478 167.1  25.5  234.2  57.2  234.2  57.2    0    .0
I527-10C   150.0  Cm  1 84.9781  72.7  43.0  193.1  40.2  193.1  40.2    0    .0
I531-4B    150.0  Cm  1 190.062  12.5  -8.2   40.1 -39.2   40.1 -39.2    0    .0
I531-5C    150.0  Cm  1 111.687 251.9 -40.9   38.8 -32.9   38.8 -32.9    0    .0
I531-6B    150.0  Cm  0 241.586 171.8 -43.0   40.5 -37.0   40.5 -37.0    0    .0
I92-2B     200.0  Cm  1 34.5163 195.2   1.8   25.1  57.4   25.1  57.4    0    .0
I92-5B     200.0  Cm  0 21.7774 229.2  68.8    8.6  63.3    8.6  63.3    0    .0
I914-8B    200.0  Cm  2 10.4162 319.9 -30.4  115.7 -56.0  115.7 -56.0    0    .0
I1510-6B   200.0  Cm  1 12.7063 348.2 -31.7   99.2 -74.6   99.2 -74.6    0    .0
I1512-2C   200.0  Cm  0  9.7058 347.9  22.0    7.8   5.4    7.8   5.4    0    .0
I1512-3B   200.0  Cm  0 15.6842 358.1  14.7   37.2  -7.3   37.2  -7.3    0    .0
I1530-3C   200.0  Cm  1 15.8560 307.2   3.3  312.5 -21.2  312.5 -21.2    0    .0
I1531-7D   200.0  Cm  1 28.9204 287.7 -71.9   42.0 -47.6   42.0 -47.6    0    .0
I527-1C    200.0  Cm  1 65.8885 163.2 -27.3  127.3  18.0  127.3  18.0    0    .0
I527-4C    200.0  Cm  1 111.727 155.6   1.6  130.8  14.3  130.8  14.3    0    .0
I527-6C    200.0  Cm  1 145.345 160.6 -36.2  110.1  11.8  110.1  11.8    0    .0
I527-7B    200.0  Cm  0 113.524 182.3 -48.6  126.6  13.4  126.6  13.4    0    .0
I527-8C    200.0  Cm  2 103.076 127.3  53.5  233.0  59.1  233.0  59.1    0    .0
I527-9C    200.0  Cm  1 105.496 165.9  26.7  231.6  58.0  231.6  58.0    0    .0
I527-10C   200.0  Cm  1 88.0365  65.7  43.3  186.4  39.6  186.4  39.6    0    .0
I531-4B    200.0  Cm  1 178.038  12.4  -9.4   40.2 -40.5   40.2 -40.5    0    .0
I531-5C    200.0  Cm  1 103.230 248.0 -42.6   34.8 -33.4   34.8 -33.4    0    .0
I531-6B    200.0  Cm  0 220.683 167.3 -43.8   36.4 -38.0   36.4 -38.0    0    .0
I92-2B     100.2  Cm  1 34.4482 196.4  -6.3   21.6  49.6   21.6  49.6    0    .0
I92-5B     100.2  Cm  0 19.3639 240.7  71.8   14.0  59.1   14.0  59.1    0    .0
I914-8B    100.2  Cm  1 10.3620 319.0 -32.1  112.4 -56.1  112.4 -56.1    0    .0
I1510-6B   100.2  Cm  0 18.2818 351.3 -49.1    6.4 -82.1    6.4 -82.1    0    .0
I1512-2C   100.2  Cm  1  8.6206 349.6   7.4    8.5  -9.3    8.5  -9.3    0    .0
I1512-3B   100.2  Cm  1 16.8049   0.5 -10.7   39.5 -32.7   39.5 -32.7    0    .0
I1530-3C   100.2  Cm  1 16.7585 306.2 -11.4  301.7 -32.3  301.7 -32.3    0    .0
I1531-7D   100.2  Cm  1 33.9317 295.9 -71.8   42.0 -50.2   42.0 -50.2    0    .0
I527-1C    100.2  Cm  0 68.8229 160.1 -32.1  125.8  12.7  125.8  12.7    0    .0
I527-4C    100.2  Cm  2 112.398 157.0  -4.3  132.8   8.6  132.8   8.6    0    .0
I527-6C    100.2  Cm  1 150.328 161.0 -38.9  111.1   9.2  111.1   9.2    0    .0
I527-7B    100.2  Cm  0 121.779 183.2 -52.5  127.0   9.4  127.0   9.4    0    .0
I527-8C    100.2  Cm  1 92.8613 123.3  50.4  230.2  55.3  230.2  55.3    0    .0
I527-9C    100.2  Cm  1 100.092 167.3  22.1  235.8  53.9  235.8  53.9    0    .0
I527-10C   100.2  Cm  1 77.6446  66.7  35.8  188.8  32.4  188.8  32.4    0    .0
I531-4B    100.2  Cm  1 178.314  10.0  -9.0   37.0 -40.4   37.0 -40.4    0    .0
I531-5C    100.2  Cm  1 103.786 248.8 -42.8   35.4 -33.7   35.4 -33.7    0    .0
I531-6B    100.2  Cm  0 221.682 168.7 -44.1   37.7 -38.2   37.7 -38.2    0    .0
I92-2B     200.1  Cm  1 35.7502 193.3 -19.2   12.1  38.2   12.1  38.2    0    .0
I92-5B     200.1  Cm  1 13.2012 238.4  62.6  355.8  59.3  355.8  59.3    0    .0
I914-8B    200.1  Cm  1 10.7599 319.1 -36.4  105.4 -58.1  105.4 -58.1    0    .0
I1510-6B   200.1  Cm  1 22.9780 345.9 -60.3  342.5 -71.7  342.5 -71.7    0    .0
I1512-2C   200.1  Cm  1  8.6617 351.1  -5.3    9.4 -22.1    9.4 -22.1    0    .0
I1512-3B   200.1  Cm  0 18.2503 359.3 -27.6   38.0 -49.6   38.0 -49.6    0    .0
I1530-3C   200.1  Cm  1 17.4287 306.2 -20.6  294.0 -39.1  294.0 -39.1    0    .0
I1531-7D   200.1  Cm  1 36.8402 298.1 -74.1   38.3 -50.5   38.3 -50.5    0    .0
I527-1C    200.1  Cm  0 70.1046 165.0 -38.7  131.2   7.2  131.2   7.2    0    .0
I527-4C    200.1  Cm  1 114.727 157.2  -6.5  133.2   6.4  133.2   6.4    0    .0
I527-6C    200.1  Cm  0 154.074 163.6 -40.4  113.4   8.3  113.4   8.3    0    .0
I527-7B    200.1  Cm  0 127.061 183.9 -54.8  127.3   7.2  127.3   7.2    0    .0
I527-8C    200.1  Cm  2 88.6405 128.7  48.1  237.2  54.1  237.2  54.1    0    .0
I527-9C    200.1  Cm  1 96.9584 163.7  19.6  231.3  50.7  231.3  50.7    0    .0
I527-10C   200.1  Cm  1 73.5630  68.1  32.1  190.8  28.9  190.8  28.9    0    .0
I531-4B    200.1  Cm  1 176.644  10.6 -10.9   38.2 -42.2   38.2 -42.2    0    .0
I531-5C    200.1  Cm  1 103.559 248.5 -43.0   35.1 -33.9   35.1 -33.9    0    .0
I531-6B    200.1  Cm  1 221.152 167.8 -44.6   36.9 -38.7   36.9 -38.7    0    .0
I92-2B     200.1  Cm  1 35.0600 196.9 -15.4   17.8  40.8   17.8  40.8    0    .0
I92-2B     200.1  Cm  1 35.0600 196.9 -15.4   17.8  40.8   17.8  40.8    0    .0
I92-2B     200.1  Cm  4 34.8923 190.9 -13.6   10.8  44.2   10.8  44.2    0    .0
I92-2B     200.1  Cm  1 35.0838 193.3 -14.9   13.5  42.3   13.5  42.3    0    .0
I92-5B     200.1  Cm  1 14.8867 247.2  65.6    2.9  56.2    2.9  56.2    0    .0
I914-8B    200.1  Cm  1 11.2231 320.6 -40.1   99.2 -60.5   99.2 -60.5    0    .0
I1510-6B   200.1  Cm  0 20.0084 349.4 -54.0  351.0 -77.9  351.0 -77.9    0    .0
I1512-2C   200.1  Cm  1  8.4594 347.3  -2.0    5.6 -18.6    5.6 -18.6    0    .0
I1512-3B   200.1  Cm  1 17.7194 359.4 -19.4   38.2 -41.4   38.2 -41.4    0    .0
I1530-3C   200.1  Cm  1 16.8273 306.8 -18.5  296.4 -38.0  296.4 -38.0    0    .0
I1531-7D   200.1  Cm  1 34.6931 297.6 -71.9   41.8 -50.7   41.8 -50.7    0    .0
I527-1C    200.1  Cm  0 69.4851 162.6 -32.2  127.9  13.2  127.9  13.2    0    .0
I527-4C    200.1  Cm  1 113.613 153.4  -3.5  129.1   9.0  129.1   9.0    0    .0
